"filename", "language", "JavaScript", "JSON", "Docker", "Environment Variables", "Markdown", "YAML", "comment", "blank", "total"
"/home/tam/Documents/GithubRepos/ecommerce-backend/.templates.env", "Environment Variables", 0, 0, 0, -5, 0, 0, 0, 0, -5
"/home/tam/Documents/GithubRepos/ecommerce-backend/Dockerfile", "Docker", 0, 0, -8, 0, 0, 0, -2, -7, -17
"/home/tam/Documents/GithubRepos/ecommerce-backend/app.js", "JavaScript", -41, 0, 0, 0, 0, 0, -19, -12, -72
"/home/tam/Documents/GithubRepos/ecommerce-backend/config/attachment.js", "JavaScript", -11, 0, 0, 0, 0, 0, 0, -2, -13
"/home/tam/Documents/GithubRepos/ecommerce-backend/config/database.js", "JavaScript", -12, 0, 0, 0, 0, 0, 0, -4, -16
"/home/tam/Documents/GithubRepos/ecommerce-backend/controllers/admin/index.js", "JavaScript", -56, 0, 0, 0, 0, 0, -11, -15, -82
"/home/tam/Documents/GithubRepos/ecommerce-backend/controllers/attachment/index.js", "JavaScript", -68, 0, 0, 0, 0, 0, -12, -17, -97
"/home/tam/Documents/GithubRepos/ecommerce-backend/controllers/auth/index.js", "JavaScript", -114, 0, 0, 0, 0, 0, -15, -29, -158
"/home/tam/Documents/GithubRepos/ecommerce-backend/controllers/bookmark/index.js", "JavaScript", -54, 0, 0, 0, 0, 0, -6, -12, -72
"/home/tam/Documents/GithubRepos/ecommerce-backend/controllers/category/index.js", "JavaScript", -102, 0, 0, 0, 0, 0, -18, -27, -147
"/home/tam/Documents/GithubRepos/ecommerce-backend/controllers/feed/index.js", "JavaScript", -74, 0, 0, 0, 0, 0, -12, -13, -99
"/home/tam/Documents/GithubRepos/ecommerce-backend/controllers/product/index.js", "JavaScript", -139, 0, 0, 0, 0, 0, -18, -26, -183
"/home/tam/Documents/GithubRepos/ecommerce-backend/controllers/product/variant.js", "JavaScript", -75, 0, 0, 0, 0, 0, -11, -17, -103
"/home/tam/Documents/GithubRepos/ecommerce-backend/controllers/subcategory/index.js", "JavaScript", -125, 0, 0, 0, 0, 0, -24, -31, -180
"/home/tam/Documents/GithubRepos/ecommerce-backend/docker-compose.yml", "YAML", 0, 0, 0, 0, 0, -14, -12, -1, -27
"/home/tam/Documents/GithubRepos/ecommerce-backend/middleware/auth.js", "JavaScript", -37, 0, 0, 0, 0, 0, -1, -11, -49
"/home/tam/Documents/GithubRepos/ecommerce-backend/middleware/error.js", "JavaScript", -19, 0, 0, 0, 0, 0, -1, -3, -23
"/home/tam/Documents/GithubRepos/ecommerce-backend/model/Address/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, -30, -1, -31
"/home/tam/Documents/GithubRepos/ecommerce-backend/model/Admin/index.js", "JavaScript", -71, 0, 0, 0, 0, 0, -47, -8, -126
