"filename", "language", "JavaScript", "JSON", "Docker", "Environment Variables", "Markdown", "YAML", "comment", "blank", "total"
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/.templates.env", "Environment Variables", 0, 0, 0, 5, 0, 0, 0, 0, 5
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/Dockerfile", "Docker", 0, 0, 8, 0, 0, 0, 2, 7, 17
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/app.js", "JavaScript", 47, 0, 0, 0, 0, 0, 21, 14, 82
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/config/attachment.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 2, 13
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/config/database.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 4, 16
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/controllers/admin/index.js", "JavaScript", 56, 0, 0, 0, 0, 0, 11, 15, 82
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/controllers/attachment/index.js", "JavaScript", 68, 0, 0, 0, 0, 0, 12, 17, 97
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/controllers/auth/index.js", "JavaScript", 136, 0, 0, 0, 0, 0, 18, 30, 184
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/controllers/bookmark/index.js", "JavaScript", 60, 0, 0, 0, 0, 0, 6, 12, 78
"/media/tam/48955458-d4d5-4f63-b57b-bb4d87490c69/tam/git-repos/rayos/ecommerce-backend/controllers/cart/index.js", "JavaScript", 120, 0, 0, 0, 0, 0, 8, 19, 147
